Age,Department,EducationField,EmployeeNumber,Gender,HourlyRate,JobRole,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,StockOptionLevel,TotalWorkingYears,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion
41,Sales,Life Sciences,1,Female,94,Sales Executive,5993,19479,8,Yes,11,3,0,8,6,4,0
49,Research & Development,Life Sciences,2,Male,61,Research Scientist,5130,24907,1,No,23,4,1,10,10,7,1
37,Research & Development,Other,4,Male,92,Laboratory Technician,2090,2396,6,Yes,15,3,0,7,0,0,0
33,Research & Development,Life Sciences,5,Female,56,Research Scientist,2909,23159,1,Yes,11,3,0,8,8,7,3
27,Research & Development,Medical,7,Male,40,Laboratory Technician,3468,16632,9,No,12,3,1,6,2,2,2
32,Research & Development,Life Sciences,8,Male,79,Laboratory Technician,3068,11864,0,No,13,3,0,8,7,7,3
59,Research & Development,Medical,10,Female,81,Laboratory Technician,2670,9964,4,Yes,20,4,3,12,1,0,0
30,Research & Development,Life Sciences,11,Male,67,Laboratory Technician,2693,13335,1,No,22,4,1,1,1,0,0
38,Research & Development,Life Sciences,12,Male,44,Manufacturing Director,9526,8787,0,No,21,4,0,10,9,7,1
36,Research & Development,Medical,13,Male,94,Healthcare Representative,5237,16577,6,No,13,3,2,17,7,7,7
35,Research & Development,Medical,14,Male,84,Laboratory Technician,2426,16479,0,No,13,3,1,6,5,4,0
29,Research & Development,Life Sciences,15,Female,49,Laboratory Technician,4193,12682,0,Yes,12,3,0,10,9,5,0
31,Research & Development,Life Sciences,16,Male,31,Research Scientist,2911,15170,1,No,17,3,1,5,5,2,4
34,Research & Development,Medical,18,Male,93,Laboratory Technician,2661,8758,0,No,11,3,1,3,2,2,1
28,Research & Development,Life Sciences,19,Male,50,Laboratory Technician,2028,12947,5,Yes,14,3,0,6,4,2,0
29,Research & Development,Life Sciences,20,Female,51,Manufacturing Director,9980,10195,1,No,11,3,1,10,10,9,8
32,Research & Development,Life Sciences,21,Male,80,Research Scientist,3298,15053,0,Yes,12,3,2,7,6,2,0
22,Research & Development,Medical,22,Male,96,Laboratory Technician,2935,7324,1,Yes,13,3,2,1,1,0,0
53,Sales,Life Sciences,23,Female,78,Manager,15427,22021,2,No,16,3,0,31,25,8,3
38,Research & Development,Life Sciences,24,Male,45,Research Scientist,3944,4306,5,Yes,11,3,0,6,3,2,1
24,Research & Development,Other,26,Female,96,Manufacturing Director,4011,8232,0,No,18,3,1,5,4,2,1
36,Sales,Life Sciences,27,Male,82,Sales Representative,3407,6986,7,No,23,4,0,10,5,3,0
34,Research & Development,Life Sciences,28,Female,53,Research Director,11994,21293,0,No,11,3,0,13,12,6,2
21,Research & Development,Life Sciences,30,Male,96,Research Scientist,1232,19281,1,No,14,3,0,0,0,0,0
34,Research & Development,Medical,31,Male,83,Research Scientist,2960,17102,2,No,11,3,0,8,4,2,1
53,Research & Development,Other,32,Female,58,Manager,19094,10735,4,No,11,3,1,26,14,13,4
32,Research & Development,Life Sciences,33,Female,72,Research Scientist,3919,4681,1,Yes,22,4,0,10,10,2,6
42,Sales,Marketing,35,Male,48,Sales Executive,6825,21173,0,No,11,3,1,10,9,7,4
44,Research & Development,Medical,36,Female,42,Healthcare Representative,10248,2094,3,No,14,3,1,24,22,6,5
46,Sales,Marketing,38,Female,83,Manager,18947,22822,3,No,12,3,0,22,2,2,2
33,Research & Development,Medical,39,Male,78,Laboratory Technician,2496,6670,4,No,11,3,0,7,1,1,0
44,Research & Development,Other,40,Male,41,Healthcare Representative,6465,19121,2,Yes,13,3,0,9,4,2,1
